Result Log 
Random Seed = 1509929811.639208 
Parameters used = {'fitness evaluations': 10000, 'number of runs': 30, 'problem solution location': 'solutions/solution1.txt'}

Run 1
1	1.6
2	2.0
3	2.4
4	2.8
14	3.2
124	3.4

Run 2
1	3.2
44	3.4

Run 3
1	3.0
5	3.4

Run 4
1	2.4
5	3.4

Run 5
1	2.8
6	3.2
26	3.4

Run 6
1	2.0
3	2.2
8	3.0
33	3.4

Run 7
1	1.8
2	3.2
58	3.4

Run 8
1	1.6
2	2.0
4	2.4
5	3.2
37	3.4

Run 9
1	2.4
2	2.6
5	2.8
7	3.2
25	3.4

Run 10
1	2.4
8	3.0
26	3.2
320	3.4

Run 11
1	1.8
2	2.4
10	3.0
16	3.4

Run 12
1	2.4
3	2.8
13	3.0
35	3.2
74	3.4

Run 13
1	2.2
4	2.8
15	3.2
28	3.4

Run 14
1	1.0
2	1.4
3	2.8
7	3.2
121	3.4

Run 15
1	1.4
2	1.6
3	2.2
4	3.4

Run 16
1	2.0
4	2.8
11	3.2
32	3.4

Run 17
1	2.8
2	3.0
7	3.2
25	3.4

Run 18
1	2.4
6	2.6
8	2.8
9	3.4

Run 19
1	1.8
2	2.2
3	3.0
8	3.4

Run 20
1	2.0
4	2.8
45	3.0
57	3.2
129	3.4

Run 21
1	1.6
3	2.4
5	2.6
7	3.2
66	3.4

Run 22
1	2.4
5	3.0
14	3.4

Run 23
1	2.2
3	3.0
8	3.2
93	3.4

Run 24
1	1.8
2	2.0
4	2.8
6	3.2
98	3.4

Run 25
1	2.6
2	2.8
5	3.0
19	3.2
173	3.4

Run 26
1	2.6
8	3.2
134	3.4

Run 27
1	2.6
6	3.2
16	3.4

Run 28
1	2.4
2	3.4

Run 29
1	3.4

Run 30
1	2.4
2	2.8
3	3.0
23	3.2
32	3.4

